#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
209,NED,Joris,MATHIJSEN,MATH,MATHNED,4,360,36.75,102.1,14.23,13.67,24.4,219,20,17
119,NED,Wesley,SNEIJDER,SNEI,SNEINED,4,352,39.39,111.9,17.23,14,24.46,210,22,24
208,NED,Mark,VAN BOMMEL,VAN,VANNED,4,360,36.77,102.1,13.87,15.16,28.35,220,17,19
139,NED,Giovanni,VAN BRONCKHORST,VAN,VANNED,4,360,39.47,109.6,15.94,14.7,24.4,214,20,22
90,NED,Rafael,VAN de VAART,VAN,VANNED,3,212,24.61,116.1,11.01,8.53,24.57,133,18,18
79,NED,Gregory,VAN DER WIEL,VAN,VANNED,3,270,31.67,117.3,13.52,10.77,25.46,157,18,19
144,NED,Robin,VAN PERSIE,VAN,VANNED,4,304,33.13,109,14.44,11.34,26.02,199,16,19
84,New,Zealand,Ivan VICELICH,Ivan,IvanNew,3,249,29.03,116.6,9.23,13.65,23.38,151,19,18
131,NZL,Leo,BERTOS,BERT,BERTNZL,3,270,29.8,110.4,9.89,13.26,29.01,163,15,17
55,NZL,Simon,ELLIOTT,ELLI,ELLINZL,3,270,32.44,120.1,10.77,14.99,28.35,154,20,19
64,NZL,Rory,FALLON,FALL,FALLNZL,3,222,26.42,119,9.45,10.96,26.49,133,16,15
85,NZL,Chris,KILLEN,KILL,KILLNZL,3,240,27.97,116.5,9.98,11.96,22.18,145,17,19
162,NZL,Tony,LOCHHEAD,LOCH,LOCHNZL,3,270,28.95,107.2,9.73,13.07,26.39,163,16,16
245,NZL,Ryan,NELSEN,NELS,NELSNZL,3,270,25.93,96,8.34,12.01,27.35,168,13,11
240,NZL,Winston,REID,REID,REIDNZL,3,270,26.08,96.6,8.01,12.04,22.85,168,12,13
150,NZL,Shane,SMELTZ,SMEL,SMELNZL,3,270,29.33,108.6,10.22,12.39,22.62,163,14,15
203,NZL,Tommy,SMITH,SMIT,SMITNZL,3,270,27.77,102.9,9.32,12.5,25.35,166,14,13
236,NIG,Yakubu,AYEGBENI,AYEG,AYEGNIG,3,250,24.24,97,9.49,9.03,23.67,160,11,11
160,NIG,Dickson,ETUHU,ETUH,ETUHNIG,3,270,29.07,107.7,9.91,13.1,20.96,154,18,17
243,NIG,Chidi,ODIAH,ODIA,ODIANIG,3,270,26,96.3,8.58,11.49,24.32,166,12,14
251,NIG,Danny,SHITTU,SHIT,SHITNIG,3,270,24.19,89.6,7.77,10.73,21.95,185,10,9
89,PAR,Victor,CACERES,CACE,CACEPAR,3,270,31.37,116.2,11.72,13.08,21.36,154,20,19
232,PAR,Paulo,DA SILVA,DA S,DA SPAR,3,270,26.6,98.5,9.55,10.95,25.34,166,13,12
132,PAR,Claudio,MOREL,MORE,MOREPAR,3,270,29.72,110.1,11.25,11.6,26.62,154,17,20
65,PAR,Cristian,RIVEROS,RIVE,RIVEPAR,3,270,32.12,119,12.49,13.03,24.13,148,18,19
95,PAR,Enrique,VERA,VERA,VERAPAR,3,268,30.86,115.1,11.9,11.93,24.07,156,19,18
