#,Country,First Name,Last Name ,Last,UID,Matches,Minutes,km,m/min,poss,no poss,speed,low,med,high
175,SUI,Stephane,GRICHTING,GRIC,GRICSUI,3,270,28.5,105.6,8.49,13.51,22.71,163,13,14
11,SUI,Benjamin,HUGGEL,HUGG,HUGGSUI,3,258,33.22,128.8,11.01,15.28,22.71,134,22,23
34,SUI,Gokhan,INLER,INLE,INLESUI,3,270,33.27,123.2,10.4,15.76,26.39,146,20,20
39,SUI,Stephan,LICHTSTEINER,LICH,LICHSUI,3,270,32.88,121.8,10.89,14.7,22.98,152,18,21
205,SUI,Blaise,NKUFO,NKUF,NKUFSUI,3,227,23.28,102.6,8.26,9.6,22.4,138,12,14
188,SUI,Steve,VON BERGEN,VON,VONSUI,3,234,24.46,104.5,7.6,11.32,26.39,145,11,13
101,SUI,Reto,ZIEGLER,ZIEG,ZIEGSUI,3,270,30.92,114.5,9.74,13.95,28.77,157,14,18
115,URU,Egidio,AREVALO,AREV,AREVURU,4,360,40.46,112.4,13.02,20.03,21.67,208,23,24
67,URU,Edinson,CAVANI,CAVA,CAVAURU,3,269,31.89,118.6,11.71,14.34,27.35,154,18,21
108,URU,Diego,FORLAN,FORL,FORLURU,4,360,40.83,113.4,15.86,16.95,24.77,213,21,25
158,URU,Jorge,FUCILE,FUCI,FUCIURU,3,251,27.04,107.7,9.06,13.25,21.69,150,14,19
221,URU,Diego,GODIN,GODI,GODIURU,3,226,22.71,100.5,8.08,10.21,22.52,138,11,11
234,URU,Diego,LUGANO,LUGA,LUGAURU,4,360,34.92,97,11.26,16.68,25.51,227,16,16
44,URU,Alvaro,PEREIRA,PERE,PEREURU,4,331,40.12,121.2,14.06,18.72,28.39,195,24,31
103,URU,Maximiliano,PEREIRA,PERE,PEREURU,4,360,41.15,114.3,14.74,18.73,27.02,209,22,27
126,URU,Diego,PEREZ,PERE,PEREURU,4,357,39.66,111.1,12.97,19.43,24.42,212,23,23
145,URU,Luis,SUAREZ,SUAR,SUARURU,4,333,36.24,108.8,14.05,15.66,23.84,208,18,22
187,USA,Jozy,ALTIDORE,ALTI,ALTIUSA,4,357,37.35,104.6,15.5,13.5,28.75,222,19,20
129,USA,Carlos,BOCANEGRA,BOCA,BOCAUSA,4,390,43.13,110.6,15.05,17.92,26.39,219,21,20
59,USA,Jonathan,BORNSTEIN,BORN,BORNUSA,2,200,23.86,119.3,9.15,10.24,21.69,102,12,15
4,USA,Michael,BRADLEY,BRAD,BRADUSA,4,390,51.69,132.5,20.24,20.34,26.72,199,31,29
104,USA,Steve,CHERUNDOLO,CHER,CHERUSA,4,390,44.4,113.8,16.03,18.7,23.82,213,23,25
194,USA,Jay,DeMERIT,DeME,DeMEUSA,4,390,40.54,103.9,13.77,17.62,27.11,225,17,18
48,USA,Clint,DEMPSEY,DEMP,DEMPUSA,4,390,46.99,120.5,18.83,18.17,27.09,208,23,28
29,USA,Landon,DONOVAN,DONO,DONOUSA,4,390,48.47,124.3,18.42,18.54,30.31,207,25,29
71,USA,Maurice,EDU,EDU,EDUUSA,3,197,23.23,117.9,8.87,9.89,23.65,102,13,11
